school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Greenway Modern School,greenwayschool.org,k-12,2026-09-14,Inaccessible,osm:IN-Delhi,17,,,,
Goverment Siddha Medical College,gsmcchennai.ac.in,university/college,2026-09-17,Inaccessible,ror:api-p16,11,,,,
International College of Nutrition,icnhealthfoods.com,university/college,2026-09-17,Active,ror:api-p16,12,,,,
Indian Education Society's V. N. Sule Guruji English Medium School,iesvns.com,university/college,2026-09-17,Inaccessible,ror:api-p16,0,,,,
Indian Institute of Information Technology Sri City,iiits.in,university/college,2026-09-17,Inaccessible,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,13,,,,
International Institute for Population Sciences,iipsindia.org,university/college,2026-09-15,Inaccessible,ror:api-p8;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,5,,,,
Sri Jayadeva Institute of Cardiovascular Sciences and Research,jayadevacardiology.com,university/college,2026-09-15,Active,ror:api-p8,20,,,,
"Jaypee Institute of Information Technology, Noida",jiit.ac.in,university/college,2026-09-14,Active,osm:IN-Delhi;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,22,,,,
Government Dental College & Research Institute,karnataka.gov.in,university/college,2026-09-14,Inaccessible,ror:api-p6,23,,,,
Vaidyaratnam P.S. Varier Ayurveda College,kottakkalayurvedacollege.ac.in,university/college,2026-09-17,Active,ror:api-p16,16,,,,
Kendriya Vidyalaya,kvsector8rkpuram.org,k-12,2026-09-14,Inaccessible,osm:IN-Delhi,,,,,
Lovely Professional University,lpu.in,university/college,2026-09-16,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,21,,,,
Maulana Azad Institute of Dental Sciences,maids.ac.in,university/college,2026-09-15,Inaccessible,ror:api-p8,17,,,,
Melaka Manipal Medical College,manipal.edu,university/college,2026-09-15,Active,ror:api-p10;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;openalex:page44,26,,,,
Mount Carmel,mountcarmeldelhi.com,k-12,2026-09-14,Inaccessible,osm:IN-Delhi,14,,,,
Mount Carmel,mountcarmelschool.com,k-12,2026-09-14,Active,redirect:mountcarmeldelhi.com,21,,,,
Nanaji Deshmukh Veterinary Science University,mppcvv.org,university/college,2026-09-14,Inaccessible,ror:api-p7,6,,,,
National Allergy Asthma Bronchitis Institute,naabi.org,university/college,2026-09-17,Inaccessible,ror:api-p16,17,,,,
NorthCap University,ncuindia.edu,university/college,2026-09-16,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,11,,,,
National Institute of Ayurveda,nia.nic.in,university/college,2026-09-15,Active,ror:api-p8,21,,,,
CSIR-NIScPR,niscpr.res.in,university/college,2026-09-14,Active,osm:IN-Delhi,4,,,,
Parikrama School of Music,parikramaschoolofmusic.com,university/college,2026-09-14,Active,osm:IN-Delhi,16,,,,
Samvad Shala,samskritabharati.in,k-12,2026-09-14,Active,osm:IN-Delhi,21,,,,
Somaiya Vidyavihar,somaiya.edu,university/college,2026-09-15,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,29,,,,
Sadhu Ramchand Murmu University of Jhargram,srcmujhargram.ac.in,university/college,2026-09-15,Active,wikidata:P856,4,,,,
Thakur College of Engineering and Technology,tcetmumbai.in,university/college,2026-09-15,Active,hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,20,,,,
Theme Music Institute,thememusic.in,university/college,2026-09-21,Active,osm:IN-Delhi,14,50,http-2xx-html+edu-keywords+substantial-content,thememusic.in,en-us
Uttarakhand Ayurved University,uau.ac.in,university/college,2026-09-17,Active,ror:api-p16,13,,,,
University of Petroleum and Energy Studies,upes.ac.in,university/college,2026-09-20,Active,hipo:2026-09-11;hipo:2026-09-13;hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21,22,,,,
Vasantdada Patil Ayurvedic Medical College & Institute Of Yoga,vdpacollegesangli.org,university/college,2026-09-17,Inaccessible,ror:api-p17,,,,,
